exception,location,date,temperature,pressure,humidity,pm1,pm2,pm10,gas,tvoc,eco2
,NO LOCATION,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:30,30.53,1006.21,79.19,0.00,0.00,0.00,461.80,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:32,30.53,1006.21,79.22,0.00,0.00,0.00,460.84,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:33,30.53,1006.21,79.22,0.00,0.00,0.00,460.84,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:33,30.53,1006.21,79.29,0.00,0.00,0.00,459.88,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:35,30.53,1006.21,79.32,0.00,0.00,0.00,460.84,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:36,30.53,1006.22,79.37,0.00,0.00,0.00,461.48,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:37,30.53,1006.22,79.37,0.00,0.00,0.00,461.48,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:37,30.53,1006.21,79.41,0.00,0.00,0.00,460.84,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:39,30.53,1006.21,79.44,0.00,0.00,0.00,460.20,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:40,30.53,1006.21,79.44,0.00,0.00,0.00,460.20,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:41,30.53,1006.21,79.48,0.00,0.00,0.00,461.48,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:41,30.53,1006.22,79.50,0.00,0.00,0.00,462.44,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:43,30.54,1006.22,79.53,0.00,0.00,0.00,464.37,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:44,30.54,1006.22,79.53,0.00,0.00,0.00,464.37,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:44,30.54,1006.21,79.57,0.00,0.00,0.00,462.44,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:46,30.54,1006.22,79.56,0.00,0.00,0.00,463.40,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:47,30.54,1006.22,79.61,0.00,0.00,0.00,461.80,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:48,30.54,1006.22,79.61,0.00,0.00,0.00,461.80,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:48,30.54,1006.21,79.62,0.00,0.00,0.00,461.48,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:50,30.54,1006.21,79.62,0.00,0.00,0.00,463.72,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:51,30.54,1006.21,79.64,0.00,0.00,0.00,461.48,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:52,30.54,1006.21,79.64,0.00,0.00,0.00,461.48,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:52,30.55,1006.21,79.64,0.00,0.00,0.00,462.76,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:54,30.55,1006.21,79.64,0.00,0.00,0.00,462.12,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:55,30.55,1006.21,79.64,0.00,0.00,0.00,462.12,0.00,0.00
None,PUP-Manila,2024-09-01 02:04:55,30.55,1006.21,79.64,0.00,0.00,0.00,460.20,0.00,0.00
